interval,activecontainers,ips,apparentips,ram,disk,creationids,hostalloc,active
1,1,"[0, 0, 0, 0, 0, 0]","[4450.331606261667, 0, 0, 0, 0, 0]","[(13.630799999999999, 0.002, 0.001), 0, 0, 0, 0, 0]","[(1, 0.0, 0.0003833333333333333), 0, 0, 0, 0, 0]","[0, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
2,1,"[0, 0, 0, 0, 0, 0]","[8900.665300756667, 0, 0, 0, 0, 0]","[(79.69160000000001, 0.0018, 0.0022666666666666664), 0, 0, 0, 0, 0]","[(2, 0.0, 0.0009333333333333333), 0, 0, 0, 0, 0]","[1, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
3,1,"[0, 0, 0, 0, 0, 0]","[8900.664266909998, 0, 0, 0, 0, 0]","[(20.971, 0.0044, 0.0), 0, 0, 0, 0, 0]","[(1, 0.0, 0.0008555555555555556), 0, 0, 0, 0, 0]","[2, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
4,1,"[2327.8664038117226, 0, 0, 0, 0, 0]","[8215.999072276667, 0, 0, 0, 0, 0]","[(335.544, 0.016466666666666664, 0.009866666666666668), 0, 0, 0, 0, 0]","[(3, 0.0, 0.015905555555555555), 0, 0, 0, 0, 0]","[3, -1, -1, -1, -1, -1]","[0, -1, -1, -1, -1, -1]","[True, False, False, False, False, False]"
5,2,"[2503.141050686958, 0, 0, 0, 0, 0]","[8215.999072276667, 5008.335800563334, 0, 0, 0, 0]","[(427.8186, 0.011466666666666667, 0.006066666666666666), (5.592, 0.0, 0.0), 0, 0, 0, 0]","[(3, 1.666666666666667e-05, 0.017866666666666666), (3, 5e-05, 0.34744444444444444), 0, 0, 0, 0]","[3, 4, -1, -1, -1, -1]","[0, 0, -1, -1, -1, -1]","[True, True, False, False, False, False]"
6,2,"[2497.663717972107, 0, 0, 0, 0, 0]","[8215.999072276667, 8751.168141013946, 0, 0, 0, 0]","[(419.43, 0.0086, 0.004933333333333334), (120.23639999999999, 0.0004, 0.0003333333333333333), 0, 0, 0, 0]","[(3, 0.0, 0.021744444444444445), (1, 0.0, 0.004261111111111111), 0, 0, 0, 0]","[3, 5, -1, -1, -1, -1]","[0, 0, -1, -1, -1, -1]","[True, True, False, False, False, False]"
7,2,"[2664.722365775066, 534.0397923406001, 0, 0, 0, 0]","[8215.999072276667, 8900.663205676667, 0, 0, 0, 0]","[(455.7806, 0.011333333333333336, 0.005066666666666666), (167.77173333333332, 0.12346666666666668, 0.11573333333333333), 0, 0, 0, 0]","[(3, 0.0, 0.016805555555555553), (3, 0.0, 0.0063277777777777785), 0, 0, 0, 0]","[3, 6, -1, -1, -1, -1]","[0, 0, -1, -1, -1, -1]","[True, True, False, False, False, False]"
8,3,"[2478.4930534701275, 0, 0, 0, 0, 0]","[8215.999072276667, 8900.663205676667, 5008.3356122800005, 0, 0, 0]","[(332.7478, 0.012333333333333335, 0.0056), (128.625, 0.015333333333333336, 0.009333333333333334), (6.203399999999999, 0.0, 0.0), 0, 0, 0]","[(3, 0.0, 0.02114444444444444), (3, 0.0, 0.00595), (3, 0.0, 6.666666666666667e-05), 0, 0, 0]","[3, 6, 7, -1, -1, -1]","[3, 0, 0, -1, -1, -1]","[True, True, True, False, False, False]"
9,2,"[2629.1197031285333, 247.07790320991563, 0, 0, 0, 0]","[8215.999072276667, 5008.335875876667, 0, 0, 0, 0]","[(377.487, 0.011333333333333336, 0.0054), (64.31213333333332, 0.0005333333333333334, 0.002333333333333333), 0, 0, 0, 0]","[(3, 0.0, 0.030616666666666664), (3, 0.0, 0.04438888888888889), 0, 0, 0, 0]","[3, 8, -1, -1, -1, -1]","[3, 0, -1, -1, -1, -1]","[True, True, False, False, False, False]"
10,3,"[0, 0, 4497.802925863058, 0, 0, 0]","[8215.999072276667, 5008.335875876667, 8900.665420573334, 0, 0, 0]","[(321.563, 0.0134, 0.007933333333333334), (67.10839999999999, 0.0, 0.0), (335.54359999999997, 0.0062, 0.017266666666666666), 0, 0, 0]","[(3, 0.0, 0.01774444444444444), (3, 0.0, 0.00019999999999999998), (1, 0.0, 0.0033444444444444446), 0, 0, 0]","[3, 8, 9, -1, -1, -1]","[3, 0, 0, -1, -1, -1]","[True, True, True, False, False, False]"
11,2,"[0, 0, 4459.23337570724, 0, 0, 0]","[4553.07994544, 0, 8900.665420573334, 0, 0, 0]","[(8.7374, 0.0, 0.0), 0, (346.7286, 0.005866666666666666, 0.0174), 0, 0, 0]","[(1, 0.0, 0.0012000000000000001), 0, (1, 0.0, 0.0017), 0, 0, 0]","[10, -1, 9, -1, -1, -1]","[0, -1, 0, -1, -1, -1]","[True, False, True, False, False, False]"
12,2,"[0, 0, 4482.968483495435, 0, 0, 0]","[4450.332126608333, 0, 8900.665420573334, 0, 0, 0]","[(60.816866666666684, 0.0044666666666666665, 0.0008), 0, (355.117, 0.0057333333333333325, 0.017333333333333333), 0, 0, 0]","[(3, 0.0, 0.00195), 0, (1, 0.0, 0.002), 0, 0, 0]","[11, -1, 9, -1, -1, -1]","[0, -1, 0, -1, -1, -1]","[True, False, True, False, False, False]"
13,2,"[1155.2559781834066, 0, 4477.0347065483875, 0, 0, 0]","[5008.335165535, 0, 8900.665420573334, 0, 0, 0]","[(67.10839999999999, 0.00013333333333333334, 0.001), 0, (390.0696, 0.0058, 0.017333333333333333), 0, 0, 0]","[(1, 0.0, 0.0005722222222222222), 0, (1, 0.0, 0.0017166666666666667), 0, 0, 0]","[12, -1, 9, -1, -1, -1]","[0, -1, 0, -1, -1, -1]","[True, False, True, False, False, False]"
