interval,ips,create,start,destroy,apparentips,ram,disk,hostalloc,active
1,[396.9361450865544],[0],[1],[-1],[647.7403289788434],"[(23.155066666666666, 0.0, 0.0)]","[(3, 0.0, 9.999999999999999e-05)]",[0],[True]
2,"[374.9388471910708, 468.28758166633094]","[0, 1]","[1, 2]","[-1, -1]","[647.7403289788434, 468.28758166633094]","[(16.601333333333333, 0.0, 0.0), (65.71026666666667, 0.004666666666666666, 0.008)]","[(3, 0.0, 8.333333333333333e-05), (2, 0.0, 0.0008444444444444444)]","[0, 0]","[True, True]"
3,"[0, 412.4697742507471, 396.9361450865544]","[0, 1, 2]","[1, 2, 3]","[-1, -1, -1]","[647.7403289788434, 468.28758166633094, 647.7403289788434]","[(30.407466666666664, 0.0, 0.0), (72.70053333333334, 0.004666666666666666, 0.008), (23.155066666666666, 0.0, 0.0)]","[(3, 0.0, 8.88888888888889e-05), (2, 0.0, 0.0008388888888888889), (3, 0.0, 9.999999999999999e-05)]","[0, 0, 0]","[True, True, True]"
4,"[0, 0, 0, 580.5642733580362, 663.6088525866256]","[0, 1, 2, 3, 3]","[1, 2, 3, 4, 4]","[3, -1, -1, -1, -1]","[0, 468.28758166633094, 647.7403289788434, 1136.2891319382297, 674.0325252773587]","[0, (53.12706666666666, 0.004666666666666666, 0.008), (16.601333333333333, 0.0, 0.0), (128.6252, 0.0018666666666666664, 0.0037333333333333333), (37.04853333333334, 0.0, 0.0)]","[0, (2, 0.0, 0.0009000000000000001), (3, 0.0, 8.333333333333333e-05), (1, 0.0, 0.00014444444444444444), (2, 0.0, 4.4444444444444447e-05)]","[-1, 0, 0, 1, 0]","[False, True, True, True, True]"
5,"[0, 0, 0, 832.1386217591244, 674.0325252773587, 763.6435183801432, 1425.044725649325, 362.5667139381946]","[0, 1, 2, 3, 3, 4, 4, 4]","[1, 2, 3, 4, 4, 5, 5, 5]","[3, 4, 4, -1, -1, -1, -1, -1]","[0, 0, 0, 1136.2891319382297, 674.0325252773587, 807.2379534052329, 1491.0396367760939, 408.4310884229504]","[0, 0, 0, (72.7012, 0.0014666666666666665, 0.002533333333333333), (34.25226666666667, 0.0, 0.0), (150.9948, 0.0092, 0.00013333333333333337), (83.8852, 0.0, 0.0008), (39.14573333333333, 0.0, 0.00013333333333333337)]","[0, 0, 0, (1, 0.0, 2.2222222222222223e-05), (2, 0.0, 3.888888888888889e-05), (2, 0.0, 0.0011222222222222222), (3, 0.0, 0.000611111111111111), (1, 0.0, 0.00039444444444444444)]","[-1, -1, -1, 1, 0, 1, 1, 0]","[False, False, False, True, True, True, True, True]"
6,"[0, 0, 0, 0, 0, 762.2122684131715, 1491.0396367760939, 359.01031891424105, 362.5667139381946]","[0, 1, 2, 3, 3, 4, 4, 4, 5]","[1, 2, 3, 4, 4, 5, 5, 5, 6]","[3, 4, 4, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 1136.2891319382297, 674.0325252773587, 807.2379534052329, 1491.0396367760939, 408.4310884229504, 408.4310884229504]","[0, 0, 0, (223.696, 0.0014666666666666665, 0.002533333333333333), (34.951333333333345, 0.0, 0.0), (78.29360000000001, 0.0092, 0.00013333333333333337), (108.35173333333334, 0.0, 0.0002666666666666667), (16.776133333333334, 0.00013333333333333337, 0.00013333333333333337), (39.14573333333333, 0.0, 0.00013333333333333337)]","[0, 0, 0, (1, 0.0, 4.4444444444444447e-05), (2, 0.0, 4.9999999999999996e-05), (2, 0.0, 0.0010611111111111112), (3, 0.0, 0.0005777777777777778), (1, 0.0, 5.555555555555557e-06), (1, 0.0, 0.00039444444444444444)]","[-1, -1, -1, 1, 0, 1, 1, 0, 0]","[False, False, False, True, True, True, True, True, True]"
7,"[0, 0, 0, 0, 0, 0, 0, 0, 359.01031891424105, 177.91638334308718, 641.3438533227783, 490.8234549672006]","[0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 6]","[1, 2, 3, 4, 4, 5, 5, 5, 6, 7, 7, 7]","[3, 4, 4, 6, 6, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 807.2379534052329, 1491.0396367760939, 408.4310884229504, 408.4310884229504, 2458.423758857553, 1209.9040303456334, 725.8427321150091]","[0, 0, 0, 0, 0, (27.962, 0.0088, 0.00013333333333333337), (123.03173333333336, 0.0, 0.0013333333333333333), (39.14613333333333, 0.0, 0.0), (16.776133333333334, 0.00013333333333333337, 0.00013333333333333337), (159.38320000000002, 0.0036, 0.004533333333333333), (68.50653333333334, 0.0056, 0.0072), (40.543866666666666, 0.0, 0.0)]","[0, 0, 0, 0, 0, (2, 0.0, 0.0010388888888888889), (3, 0.0, 0.0007277777777777777), (1, 0.0, 2.2222222222222223e-05), (1, 0.0, 5.555555555555557e-06), (2, 0.0, 0.0009333333333333333), (2, 0.0, 0.0031666666666666666), (1, 0.0, 4.9999999999999996e-05)]","[-1, -1, -1, -1, -1, 1, 1, 0, 0, 2, 1, 0]","[False, False, False, False, False, True, True, True, True, True, True, True]"
8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 737.518869625653, 725.8427321150091, 0, 1997.4632332569283, 741.4548788661725, 468.28758166633094]","[0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 6, 7, 7, 7, 7]","[1, 2, 3, 4, 4, 5, 5, 5, 6, 7, 7, 7, 8, 8, 8, 8]","[3, 4, 4, 6, 6, 7, 7, 7, -1, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 408.4310884229504, 2458.423758857553, 1209.9040303456334, 725.8427321150091, 3030.402031215658, 2152.1849360953197, 1030.6618840419078, 468.28758166633094]","[0, 0, 0, 0, 0, 0, 0, 0, (39.14613333333333, 0.0, 0.0), (218.10320000000002, 0.0028, 0.004), (60.11773333333332, 0.005733333333333333, 0.007466666666666666), (30.057866666666662, 0.0, 0.0), (195.734, 1.0622666666666667, 0.8749333333333331), (260.0457333333334, 16.5532, 0.2924), (109.05160000000001, 0.0036, 0.0004), (65.71026666666667, 0.004666666666666666, 0.008)]","[0, 0, 0, 0, 0, 0, 0, 0, (1, 0.0, 2.2222222222222223e-05), (2, 0.0, 0.0005999999999999998), (2, 0.0, 0.003022222222222222), (1, 0.0, 1.6666666666666667e-05), (1, 0.0, 0.0014666666666666662), (1, 8.906633333333335, 3.6877999999999997), (3, 0.0, 0.0004277777777777778), (2, 0.0, 0.0008444444444444444)]","[-1, -1, -1, -1, -1, -1, -1, -1, 0, 2, 1, 0, 2, 2, 1, 0]","[False, False, False, False, False, False, False, False, True, True, True, True, True, True, True, True]"
9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2152.1849360953197, 0, 412.4697742507471, 412.3405938929234, 330.57774985797073]","[0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 6, 7, 7, 7, 7, 8, 8]","[1, 2, 3, 4, 4, 5, 5, 5, 6, 7, 7, 7, 8, 8, 8, 8, 9, 9]","[3, 4, 4, 6, 6, 7, 7, 7, 8, 8, -1, -1, 8, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1209.9040303456334, 725.8427321150091, 0, 2152.1849360953197, 1030.6618840419078, 468.28758166633094, 1292.7826297690333, 727.4163438642491]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (58.7196, 0.0064, 0.007333333333333333), (41.24293333333334, 0.0, 0.0), 0, (390.0688, 0.1712, 1.2174666666666665), (97.86653333333334, 0.0036, 0.0004), (72.70053333333334, 0.004666666666666666, 0.008), (204.12213333333332, 0.0006666666666666666, 0.0005333333333333334), (37.572666666666656, 0.0, 0.0)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (2, 0.0, 0.0030055555555555547), (1, 0.0, 3.888888888888889e-05), 0, (1, 0.0, 0.00017777777777777779), (3, 0.0, 0.00024444444444444443), (2, 0.0, 0.0008388888888888889), (2, 0.0, 0.0023777777777777777), (2, 0.0, 1.6666666666666667e-05)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 0, -1, 2, 1, 0, 1, 0]","[False, False, False, False, False, False, False, False, False, False, True, True, False, True, True, True, True, True]"
10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2012.5814248183358, 0, 0, 1292.7826297690333, 0, 177.91638334308718, 1075.6669394909356, 838.0940540290612, 396.9361450865544]","[0, 1, 2, 3, 3, 4, 4, 4, 5, 6, 6, 6, 7, 7, 7, 7, 8, 8, 9, 9, 9, 9]","[1, 2, 3, 4, 4, 5, 5, 5, 6, 7, 7, 7, 8, 8, 8, 8, 9, 9, 10, 10, 10, 10]","[3, 4, 4, 6, 6, 7, 7, 7, 8, 8, 9, 9, 8, -1, 9, -1, -1, -1, -1, -1, -1, -1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2152.1849360953197, 0, 468.28758166633094, 1292.7826297690333, 727.4163438642491, 2458.423758857553, 1762.6629248135173, 838.0940540290612, 647.7403289788434]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (213.90879999999999, 0.2112, 2.4591999999999996), 0, (53.12706666666666, 0.004666666666666666, 0.008), (184.5488, 0.0, 0.00013333333333333337), (34.42746666666666, 0.0, 0.0), (159.38320000000002, 0.0036, 0.004533333333333333), (243.26893333333328, 0.03493333333333333, 0.007066666666666666), (104.8564, 0.0004, 0.0002666666666666667), (23.155066666666666, 0.0, 0.0)]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, (1, 1.666666666666667e-05, 0.00022222222222222226), 0, (2, 0.0, 0.0009000000000000001), (2, 0.0, 0.0024555555555555554), (2, 0.0, 2.7777777777777776e-05), (2, 0.0, 0.0009333333333333333), (1, 0.0032333333333333337, 0.00037777777777777777), (3, 0.0, 0.0007944444444444444), (3, 0.0, 9.999999999999999e-05)]","[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 2, -1, 0, 1, 0, 2, 2, 1, 0]","[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, True, True, True, True, True, True, True]"
